idsku;ultimocusto
VIR-633-ML1;31.5
VIR-934-ML1;31.5
3979;31.438
VIR-3979-ML1;31.438
724;31.366
VIR-724-ML;31.366
7396;31.3488
VIR-2878-ML;31.3
VIR-6171-ML;31.2984
4232;31.29
VIR-663-ML;31.2832
VIR-4457-ML;31.2
VIR-271-ML2;31.15
VIR-ML-0006;31.011992
VIR-3967-ML;31
VIR-6610-ML2;31
VIR-6751-ML;31
VIR-3097-MLP;30.75
VIR-2831-ML;30.73675
VIR-7454-ML1;30.65
1770;30.5555
7527;30.51
VIR-2419-ML;30.5
VIR-6537-ML;30.4185
VIR-1678-ML;30.32
VIR-1695-ML;30.16
VIR-3079-ML;30.115
VIR-3603-ML;30.0585
833;30
VIR-3410-ML;30
VIR-4958-ML;30
VIR-7978-ML;29.9
VIR-6952-ML1;29.9
528;29.89
5656;29.88
VIR-5656-ML;29.88
VIR-5582-ML;29.801
4313;29.7708
3103;29.76
4236;29.725
VIR-1497-ML;29.6926
2741;29.673
VIR-CAP-ML;29.63389
6731;29.521
4289;29.474
2793;29.4
1307;29.388333
1990;29.34727
518;29.29119
7435;29.285
1361;29.2825
VIR-1361-ML;29.2825
2663;29.19
VIR-1676-ML;29.08
4809;29
4816;29
VIR-2261-ML;29
VIR-5358-ML3;29
1360;28.93428
VIR-1360-ML;28.93428
VIR-2635-ML;28.8
VIR-5531-ML;28.8
VIR-5443-ML;28.76
5343;28.75
5344;28.75
6842;28.704
VIR-TIP2-ML;28.635384
7480;28.635
6251;28.618
7825;28.6172
VIR-2427-ML;28.53619
VIR-2266-ML;28.5
VIR-6531-ML;28.317
1310;28.163333
1311;28.163
6646;28.1625
4326;28.12
8001;28.106
VIR-6469-ML;28
VIR-6474-ML;28
3291;28
4840;28
VIR-2420-ML;28
VIR-2363-ML;27.97
VIR-2573-ML;27.9336
VIR-7462-ML1;27.9
4300;27.88
4778;27.88
1359;27.862
VIR-1359-ML;27.862
VIR-627-ML;27.86
7439;27.75667
7673;27.724
VIR-880-MLP;27.6919
7751;27.63
VIR-1207-ML;27.6
1588;27.574
VIR-1588-ML;27.574
4324;27.5414
1358;27.54
VIR-1358-ML;27.54
721;27.539
VIR-721-ML;27.539
720;27.532666
VIR-720-ML;27.532666
7725;27.53
VIR-5096-ML1;27.5
6784;27.4965
759;27.448
VIR-759-ML;27.448
1428;27.44
1637;27.44
3984;27.44
VIR-1428-ML;27.44
VIR-1637-ML;27.44
VIR-3984-ML;27.44
VIR-1221-ML;27.4
VIR-4964-ML;27.388
VIR-3600-ML;27.3855
VIR-3605-ML;27.3818
5356;27.21
VIR-5356-ML;27.21
VIR-939-ML;27.2
VIR-2447-ML;27.2
7187;27.146845
1707;27.14
VIR-7909-ML;27.056
3375;27
7550;27
VIR-2639-ML;27
VIR-2969-ML;27
VIR-4443-ML;27
VIR-5031-ML;27
VIR-5060-ML;27
VIR-6903-ML;27
VIR-1688-ML;26.95
VIR-3289-ML;26.95
VIR-5335-ML;26.948
VIR-3596-ML;26.91325
1928;26.9
6841;26.9
7670;26.87
758;26.863
VIR-758-ML;26.863
1425;26.862
1426;26.862
1427;26.862
VIR-1425-ML;26.862
VIR-1427-ML;26.862
VIR-1880-ML;26.85
857;26.785
7777;26.679
7915;26.63333
2038;26.578
837;26.518267
VIR-2724-ML;26.5
VIR-5583-ML;26.475
